"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
contact_3_date_time,followup_recruitment_contacts,"
<SPAN style=""color:Red"">CONTACT #3</SPAN>

<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED METHOD(S) OF CONTACT: [preferred_methods_of_contact]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PHONE NUMBER: [phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED PHONE NUMBER: [new_phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[new_email_address]%3e"" style=""color:DeepSkyBlue"">[new_email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED LANGUAGE: [preferred_language]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">UPDATED LANGUAGE PREFERENCE: [new_preferred_language]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">INITIAL OUTREACH: [initial_outreach_means], [initial_outreach_date]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">CLINIC APPOINTMENT: [appointment_clinic], [appointment_date] [appointment_time]</SPAN>

",text,"Contact #3 date and time",,,datetime_mdy,,,,"[contact_3(yes)] = 1",,LV,,,,
contact_3_crc,followup_recruitment_contacts,,radio,"Who made contact #3?","Jennifer, Jennifer Encizo | Farheen, Farheen Faruk | Crystal, Crystal Lee | Irene, Irene Masunaka | Gabriela, Gabriela Medina | Maira, Maira Moctezuma | Sarah, Sarah Pachman | Byron, Byron Villagran | System, Auto-Email by the System",,,,,,"[contact_3(yes)] = 1",,LV,,,,
contact_3_outcomes,followup_recruitment_contacts,,radio,"Contact #3 outcomes","called_spoke_with_participant, Called, spoke with the prospective participant | called_spoke_with_someone_else, Called, spoke with someone else | called_left_voicemail, Called, no answer, left voicemail | called_no_voicemail_or_full, Called, no answer, and no voicemail or voicemail full | called_wrong_number, Called, wrong # (if available, specify alternative phone # in ""new or corrected phone number"" to the top of this form) | email_sent_success, Email sent, success | email_rejected, Email rejected (if available, specify alternative email address in ""new or corrected email address"" to the top of this form) | no_phone_or_email, Neither phone # nor email address is available | other, Other (specify in notes below)",,,,,,"[contact_3(yes)] = 1",,LV,,,,
contact_3_notes,followup_recruitment_contacts,,notes,"Contact #3 notes",,,,,,,"[contact_3(yes)] = 1",,LV,,,,
contact_4,followup_recruitment_contacts,,checkbox,"Add contact #4?","yes, Yes",,,,,,"[contact_3_date_time] <> ''",,LV,,,,
contact_4_date_time,followup_recruitment_contacts,"
<SPAN style=""color:Red"">CONTACT #4</SPAN>

<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED METHOD(S) OF CONTACT: [preferred_methods_of_contact]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PHONE NUMBER: [phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED PHONE NUMBER: [new_phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[new_email_address]%3e"" style=""color:DeepSkyBlue"">[new_email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED LANGUAGE: [preferred_language]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">UPDATED LANGUAGE PREFERENCE: [new_preferred_language]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">INITIAL OUTREACH: [initial_outreach_means], [initial_outreach_date]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">CLINIC APPOINTMENT: [appointment_clinic], [appointment_date] [appointment_time]</SPAN>

",text,"Contact #4 date and time",,,datetime_mdy,,,,"[contact_4(yes)] = 1",,LV,,,,
contact_4_crc,followup_recruitment_contacts,,radio,"Who made contact #4?","Jennifer, Jennifer Encizo | Farheen, Farheen Faruk | Crystal, Crystal Lee | Irene, Irene Masunaka | Gabriela, Gabriela Medina | Maira, Maira Moctezuma | Sarah, Sarah Pachman | Byron, Byron Villagran | System, Auto-Email by the System",,,,,,"[contact_4(yes)] = 1",,LV,,,,
contact_4_outcomes,followup_recruitment_contacts,,radio,"Contact #4 outcomes","called_spoke_with_participant, Called, spoke with the prospective participant | called_spoke_with_someone_else, Called, spoke with someone else | called_left_voicemail, Called, no answer, left voicemail | called_no_voicemail_or_full, Called, no answer, and no voicemail or voicemail full | called_wrong_number, Called, wrong # (if available, specify alternative phone # in ""new or corrected phone number"" to the top of this form) | email_sent_success, Email sent, success | email_rejected, Email rejected (if available, specify alternative email address in ""new or corrected email address"" to the top of this form) | no_phone_or_email, Neither phone # nor email address is available | other, Other (specify in notes below)",,,,,,"[contact_4(yes)] = 1",,LV,,,,
contact_4_notes,followup_recruitment_contacts,,notes,"Contact #4 notes",,,,,,,"[contact_4(yes)] = 1",,LV,,,,
decision_date,decision,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

",text,"Decision date",,,date_mdy,,,,,,LV,,,,
decision,decision,,radio,"Agreed to participate?","yes, Yes | no, No | unsure_contact_again, Unsure, contact again | unsure_more_info, Unsure, more information is needed (specify in notes) | lost_to_follow_up, Lost to follow up | not_uci_patient, Not UCI Health patient",,,,,,,,LV,,,,
decision_means,decision,,radio,"Decision confirmed by what means?","phone, Phone | text_message, Text message | email, Email | in_person, In-person during in-person recruitment | other, Other methods (specify in notes)",,,,,,,,LV,,,,
decision_declined_reasons,decision,,checkbox,"Reason(s) for declining","portal, Participant portal issue | privacy, Privacy concerns | time, Time commitment | medical, Medical reasons | blood_draw, Doesn't want to have a blood draw | language, Language barrier | moved, Moved to another state | interest, Not interested | unknown, Unknown / declined to disclose | other, Other reasons (specify in notes)",,,,,,"[decision] = 'no'",,LV,,,,
decision_notes,decision,,notes,Notes,,,,,,,,,LV,,,,
meeting_location,meeting_planning,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">CLINIC APPOINTMENT: [appointment_clinic], [appointment_date] [appointment_time]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[new_email_address]%3e"" style=""color:DeepSkyBlue"">[new_email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NIH INVITATION CODE: [nih_invitation_code]</SPAN>

<SPAN style=""color:Red"">OPEN <A href=""http://hai.ics.uci.edu/allofus/calendar/"" target=""_blank"" style=""color:DeepSkyBlue"">STUDY CALENDAR</A></SPAN>

",radio,"Meeting location","Gottschalk, Gottschalk Medical Plaza | Gavin_Herbert, Gavin Herbert Eye Institute | Santa_Ana, Santa Ana Family Health Center | Anaheim, Anaheim Family Health Center | UCIMC_Endocrinology, UCIMC Endocrinology | UCIMC_Geriatrics, UCIMC Geriatrics | UCIMC_Internal_Medicine, UCIMC Internal Medicine | UCIMC_ICTS, UCIMC ICTS | UCIMC_ER, UCIMC ER",,,,,,,,LV,,,,
meeting_date_time,meeting_planning,,text,"Meeting date and time",,,datetime_mdy,,,,,,LV,,,,
meeting_crc_assigned,meeting_planning,,radio,"CRC for the meeting","Andrea, Andrea Alvarez | Jennifer, Jennifer Encizo | Irene, Irene Masunaka | Gabriela, Gabriela Medina | Maira, Maira Moctezuma | Byron, Byron Villagran",,,,,,,,LV,,,,
meeting_study_info_received_confirmed,meeting_planning,,checkbox,"Confirmed that participant has received both Study URL and NIH Invitation Code? If not, provide them now.","yes, Yes, confirmed",,,,,,,,LV,,,,
meeting_portal_assistance_needed,meeting_planning,,radio,"Participant needs assistance in completing consent and/or PPI on site?","yes, Yes | no, No",,,,,,,,LV,,,,
meeting_planning_notes,meeting_planning,,notes,Notes,,,,,,,,,LV,,,,
meeting_reminder_date,premeeting_reminder,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">PREFERRED METHOD(S) OF CONTACT: [preferred_methods_of_contact]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PHONE NUMBER: [phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED PHONE NUMBER: [new_phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[new_email_address]%3e"" style=""color:DeepSkyBlue"">[new_email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED LANGUAGE: [preferred_language]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">UPDATED LANGUAGE PREFERENCE: [new_preferred_language]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">NIH INVITATION CODE: [nih_invitation_code]</SPAN>

",text,"Reminder date",,,date_mdy,,,,,,LV,,,,
meeting_reminder_means,premeeting_reminder,,radio,"Reminder conveyed by what means?","phone, Phone | text_message, Text message | email, Email | other, Other methods (specify in notes)",,,,,,,,LV,,,,
meeting_portal_requirements_completed,premeeting_reminder,,checkbox,"Has participant completed all requirements in Participant Portal? Check HealthPro before asking.","general_consent, General consent | ehr_consent, EHR consent | basics, Basics survey | overall_health, Overall health survey | lifestyle, Lifestyle survey",,,,,,,,LV,,,,
meeting_reminder_notes,premeeting_reminder,,notes,Notes,,,,,,,,,LV,,,,
meeting_took_place,meeting_results,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

",radio,"Meeting took place?","yes, Yes | no_show, No show | rescheduled, Rescheduled (add new meeting appointment on Form 8) | canceled_withdrawn, Canceled and withdrawn (specify withdrawing information on Form 10) | canceled_portal, Canceled due to portal issue | canceled_consent, Canceled due to refusal to provide study consent and/or EHR consent; referred to the direct volunteer program | canceled_other, Canceled due to other reasons (specify in notes)",,,,,,,,LV,,,,
meeting_rescheduled_or_canceled_same_day,meeting_results,,radio,"Meeting rescheduled or canceled on the same day of the appointment?","yes, Yes | no, No, rescheduled or canceled ahead of time",,,,,,"[meeting_took_place] = 'rescheduled' OR [meeting_took_place] = 'canceled_portal' OR [meeting_took_place] = 'canceled_consent' OR [meeting_took_place] = 'canceled_other'",,LV,,,,
meeting_ehr_consent,meeting_results,,radio,"EHR consent provided in Patient Portal?","yes, Yes | declined, No, declined to provide | will_provide, Not yet, but will provide it | other, Other (specify in notes)",,,,,,"[meeting_took_place] = 'yes'",,LV,,,,
meeting_pmb_collected,meeting_results,,checkbox,"Data or biospecimens collected","physical, Physical Measurements | blood, Blood | saliva, Saliva | urine, Urine",,,,,,"[meeting_took_place] = 'yes'",,LV,,,,
meeting_notes,meeting_results,,notes,Notes,,,,,,,,,LV,,,,
rescheduled_meeting_location,rescheduled_meetings,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">CLINIC APPOINTMENT: [appointment_clinic], [appointment_date] [appointment_time]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[new_email_address]%3e"" style=""color:DeepSkyBlue"">[new_email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NIH INVITATION CODE: [nih_invitation_code]</SPAN>

<SPAN style=""color:Red"">OPEN <A href=""http://hai.ics.uci.edu/allofus/calendar/"" target=""_blank"" style=""color:DeepSkyBlue"">STUDY CALENDAR</A></SPAN>

",radio,"Meeting location","Gottschalk, Gottschalk Medical Plaza | Gavin_Herbert, Gavin Herbert Eye Institute | Santa_Ana, Santa Ana Family Health Center | Anaheim, Anaheim Family Health Center | UCIMC_Endocrinology, UCIMC Endocrinology | UCIMC_Geriatrics, UCIMC Geriatrics | UCIMC_Internal_Medicine, UCIMC Internal Medicine | UCIMC_ICTS, UCIMC ICTS | UCIMC_ER, UCIMC ER",,,,,,,,LV,,,,
rescheduled_meeting_date_time,rescheduled_meetings,,text,"Meeting date and time",,,datetime_mdy,,,,,,LV,,,,
rescheduled_meeting_crc_assigned,rescheduled_meetings,,radio,"CRC for the meeting","Andrea, Andrea Alvarez | Jennifer, Jennifer Encizo | Irene, Irene Masunaka | Gabriela, Gabriela Medina | Maira, Maira Moctezuma | Byron, Byron Villagran",,,,,,,,LV,,,,
rescheduled_meeting_study_info_received_confirmed,rescheduled_meetings,,checkbox,"Confirmed that participant has received both Study URL and NIH Invitation Code? If not, provide them now.","yes, Yes, confirmed",,,,,,,,LV,,,,
rescheduled_meeting_portal_assistance_needed,rescheduled_meetings,,radio,"Participant needs assistance in completing consent and/or PPI on site?","yes, Yes | no, No",,,,,,,,LV,,,,
rescheduled_meeting_planning_notes,rescheduled_meetings,,notes,"Meeting planning notes",,,,,,,,,LV,,,,
rescheduled_meeting_reminder_date,rescheduled_meetings,"
<SPAN style=""color:Red"">MEETING REMINDER</SPAN>

<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">PREFERRED METHOD(S) OF CONTACT: [preferred_methods_of_contact]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PHONE NUMBER: [phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED PHONE NUMBER: [new_phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[new_email_address]%3e"" style=""color:DeepSkyBlue"">[new_email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED LANGUAGE: [preferred_language]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">UPDATED LANGUAGE PREFERENCE: [new_preferred_language]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">NIH INVITATION CODE: [nih_invitation_code]</SPAN>

",text,"Meeting reminder date",,,date_mdy,,,,"[rescheduled_meeting_date_time] <> ''",,LV,,,,
rescheduled_meeting_reminder_means,rescheduled_meetings,,radio,"Reminder conveyed by what means?","phone, Phone | text_message, Text message | email, Email | other, Other methods (specify in notes)",,,,,,"[rescheduled_meeting_date_time] <> ''",,LV,,,,
rescheduled_meeting_portal_requirements_completed,rescheduled_meetings,,checkbox,"Has participant completed all requirements in Participant Portal? Check HealthPro before asking.","general_consent, General consent | ehr_consent, EHR consent | basics, Basics survey | overall_health, Overall health survey | lifestyle, Lifestyle survey",,,,,,"[rescheduled_meeting_date_time] <> ''",,LV,,,,
rescheduled_meeting_reminder_notes,rescheduled_meetings,,notes,"Meeting reminder notes",,,,,,,"[rescheduled_meeting_date_time] <> ''",,LV,,,,
